NP,Sítio,Coleta,Nível,Localização,Técnica de transformação,Matéria-prima,Classe artefatual,Tipo de córtex,Alterações da superfície,Comprimento,Largura,Espessura,Tipo de lascas,Talão,Preparação no talão,Canto ventral do plano de percussão direto,Forma do bulbo,Número de cicatrizes,Direção das cicatrizes,Perfil,Tipo de núcleo,Tipo de plataforma de percussão,Preparação,Tipo de instrumento,Base de modificação primária,Quantidade de gumes,Sentido de utilização da lasca
Ant 2.29,Barra D’Anta,A2,Superfície,I,Lascamento Unipolar,Basalto,Instrumento,Seixo,Sem alteração,29 a 30 cm,8 a 9 cm,7 a 8 cm,,,,,,,,,,,,Bifacial,Seixo,Indeterminado,Indeterminado
Ant 2,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Seixo,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 2,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 2,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 2,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 2,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 2,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 2,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 2,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 2,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 2,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 2,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 2,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 2,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 2,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 2,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 2,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 2,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 2,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 2,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 2,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 2,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 2,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 2,Barra D’Anta,-,Superfície,-,Indeterminado,Silexito,Detrito,Seixo,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 2,Barra D’Anta,-,Superfície,-,Indeterminado,Silexito,Detrito,Inexistente,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 2,Barra D’Anta,-,Superfície,-,Indeterminado,Silexito,Detrito,Inexistente,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 2,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Quartzito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 2,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Quartzo leitoso,Lasca,Inexistente,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 2,Barra D’Anta,-,Superfície,-,Indeterminado,Basalto,Detrito,Inexistente,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 2,Barra D’Anta,-,Superfície,-,Indeterminado,Basalto,Detrito,Inexistente,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 2,Barra D’Anta,-,Superfície,-,Indeterminado,Basalto,Detrito,Inexistente,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 2,Barra D’Anta,-,Superfície,-,Indeterminado,Indeterminado,Detrito,Inexistente,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 3.1,Barra D’Anta,A3,Superfície,I,Indeterminado,Basalto,Detrito,Inexistente,Sem alteração,5 a 6 cm,4 a 5 cm,2 a 3 cm,,,,,,,,,,,,,,,
Ant 3.2,Barra D’Anta,A3,Superfície,I,Indeterminado,Basalto,Detrito,Inexistente,Sem alteração,6 a 7 cm,3 a 4 cm,3 a 4 cm,,,,,,,,,,,,,,,
Ant 3.3,Barra D’Anta,A3,Superfície,I,Lascamento bipolar,Quartzo leitoso,Lasca,Seixo,Sem alteração,4 a 5 cm,3 a 4 cm,1 a 2 cm,Lasca cortical,Indeterminado,Indeterminado,Indeterminado,Indeterminado,Nenhuma,Sem informação,Retilíneo,,,,,,,
Ant 3.4,Barra D’Anta,A3,Superfície,I,Lascamento Unipolar,Silexito,Lasca,Seixo,Sem alteração,4 a 5 cm,3 a 4 cm,2 a 3 cm,Lasca cortical,Cortical,Sem preparação,Sem formação de lábio,Pronunciado,2,Ortogonal,Retilíneo,,,,,,,
